driver_id,driver_name,phone_number,license_number,hire_date,status,primary_zone,vehicle_make,vehicle_model,created_at
1,Shawn Allen,2016845894,732K1,2024-10-15,active,6,Toyota,Prius,2024-10-22
2,Warren Sullivan,331-262-2194,387 RJL,2025-05-28,active,6,Toyota,Camry,2025-06-15
3,Ryan Diaz,281.876.6638x24,69I-VPWY,2023-10-24,active,1,Toyota,Corolla,2023-10-31
4,Erica Tanner,469.767.5273,39RK9,2024-11-07,active,5,Toyota,Corolla,2024-11-29
5,Martha Daniel,+1-646-580-4260,YJQ-135,2023-11-06,active,4,Nissan,Altima,2023-11-20
6,Brandon Martin,267-648-7934,947Z,2024-03-20,active,2,Toyota,RAV4,2024-03-30
7,Sonia Smith,348-828-4177x72,BUD3033,2024-01-14,active,3,Honda,Accord,2024-01-16
8,Kenneth Sanchez,001-678-915-368,683 PJR,2025-01-19,active,3,Ford,Explorer,2025-01-27
9,Jennifer Diaz,(771)312-9836x2,332 JSD,2024-08-28,active,5,Chevrolet,Malibu,2024-09-26
10,Sydney Leon,668.503.0805,109 BPZ,2024-03-13,active,3,Nissan,Rogue,2024-03-31
11,Paul Thomas,(289)470-6578x6,182-JHI,2024-02-14,active,1,Toyota,Corolla,2024-03-09
12,Selena Roman,(856)515-8380,KLA-688,2025-05-03,active,2,Toyota,Camry,2025-05-15
13,Debra Noble,+1-954-323-4695,4J 0358H,2023-07-28,active,2,Ford,Escape,2023-08-08
14,Paul Montoya,645-570-1213,OYW0375,2024-08-08,active,6,Ford,Explorer,2024-08-28
15,Robert Smith,(307)745-6586x6,2-17558N,2023-10-10,inactive,5,Honda,CR-V,2023-10-17
16,Jacob Wright,315-936-4564,864Z8,2024-05-21,active,3,Chevrolet,Malibu,2024-06-11
17,Shawn Cannon,715.410.4112,235 CAT,2023-08-07,active,2,Toyota,Camry,2023-09-01
18,Glenda Keller,(295)740-6395x8,011416,2024-03-22,active,1,Ford,Fusion,2024-04-20
19,Nicole Vargas,(310)556-3021,34D E31,2024-07-23,active,2,Ford,Explorer,2024-08-07
20,James Carter,825.686.6714x48,WE-1017,2025-02-06,active,2,Chevrolet,Equinox,2025-02-10
21,Cassandra Merritt,803-640-7600x23,YCL-3017,2024-11-21,active,5,Nissan,Rogue,2024-12-14
22,Holly Evans,831.439.9264,J42 7ER,2025-01-26,active,4,Nissan,Rogue,2025-02-02
23,Beverly Brooks,(987)579-6379x1,3I189,2025-04-02,active,5,Honda,Civic,2025-04-04
24,Gerald Montgomery,214.310.1382x70,89LV9,2024-04-17,active,2,Toyota,Corolla,2024-05-12
25,Jeremy Webb,+1-946-605-5478,439 1CS,2023-08-03,active,1,Nissan,Rogue,2023-08-15
26,David Meadows,220.222.4443,3GOR147,2024-07-26,active,5,Chevrolet,Equinox,2024-08-12
27,Ashley Miller,429.253.7350x77,3-8109M,2024-12-07,active,6,Toyota,Camry,2024-12-28
28,Erica Allen,(838)956-3952,270 ISN,2024-12-26,active,6,Ford,Escape,2024-12-29
29,Antonio Mooney,(424)347-5541,051-FNZ,2023-07-26,active,4,Honda,Accord,2023-08-25
30,Kimberly Fisher,857-546-8917x99,FGY 363,2024-05-01,active,5,Ford,Fusion,2024-05-17
31,Sonya Gray,001-304-897-463,012H1,2024-10-21,active,6,Ford,Explorer,2024-11-09
32,Jennifer Jarvis,920.572.3619x78,467 8RX,2024-12-08,active,2,Ford,Explorer,2025-01-07
33,Denise Allen,743-728-3805x96,6Y 2055X,2024-03-19,active,1,Nissan,Rogue,2024-04-03
34,Carol Haas,382-308-0371,475-ITN,2024-02-07,inactive,3,Ford,Fusion,2024-02-08
35,Heidi Gilbert,+1-744-356-5634,MOA 021,2024-02-28,active,1,Nissan,Altima,2024-03-22
36,Michelle Hughes,+1-385-511-7360,Q47 7FH,2024-11-08,active,5,Toyota,Corolla,2024-11-12
37,Deanna Campbell,+1-830-492-9246,1DY N37,2024-10-10,active,2,Nissan,Rogue,2024-10-26
38,Crystal Davis,804.801.5166,1YP 789,2024-02-03,active,2,Chevrolet,Malibu,2024-02-25
39,Kimberly Johnson,6939875592,ZMO 803,2024-10-11,active,4,Ford,Explorer,2024-10-25
40,Danny Mitchell,5099644147,ZZA 836,2025-04-27,active,1,Honda,Civic,2025-04-27
41,Elizabeth Levy,001-599-410-417,953-981,2023-10-16,active,5,Honda,Accord,2023-10-16
42,Samantha Williams,+1-233-345-6484,383 4035,2024-07-06,inactive,2,Toyota,Camry,2024-08-03
43,James Ramirez,6823737489,9DDV 70,2025-04-05,inactive,1,Ford,Explorer,2025-04-12
44,Marie Brown,779-486-0220,XWD-1717,2024-05-23,active,2,Chevrolet,Malibu,2024-06-15
45,Nathaniel White,001-906-939-536,700 DQG,2024-01-18,active,5,Nissan,Rogue,2024-01-25
46,Caitlyn Alvarez,001-790-432-492,32P 6889,2024-04-06,active,2,Chevrolet,Malibu,2024-04-09
47,Ashley Winters,+1-543-344-7527,YMV-4824,2025-03-23,active,4,Ford,Escape,2025-04-06
48,Raymond Hopkins,793.456.9283,479 6231,2024-03-10,active,6,Toyota,Camry,2024-03-11
49,Joseph Todd,622-560-6457x51,794-734,2025-03-25,active,1,Ford,Fusion,2025-03-31
50,Jacob Dunn,001-409-464-110,088 HXM,2024-06-17,active,2,Chevrolet,Equinox,2024-06-22
51,Katrina Bryant,001-464-696-584,9-6085V,2024-05-18,active,1,Honda,Civic,2024-06-12
52,Maria Brown,(592)399-6408,683 GHO,2024-07-08,active,1,Nissan,Altima,2024-07-28
53,Brian Hayes,001-602-999-813,418-DMK,2024-02-13,active,1,Toyota,Corolla,2024-02-18
54,Christopher Stanley,001-330-377-215,932-LWV,2025-05-04,active,2,Chevrolet,Equinox,2025-06-01
55,Amy Anderson,001-484-582-146,8UN20,2024-05-17,inactive,1,Chevrolet,Equinox,2024-05-25
